ç
"Município","ibge","latitude","longitude","Especial Censo 2022/População/Situação do domicílio/Percentual de População Urbana 2022 (%)"
"Pinhal da Serra","4314464","-27,876665000000","-51,170103000000","31,2"
"Pinhal Grande","4314472","-29,335360000000","-53,338638000000","56,4"
"Pinheirinho do Vale","4314498","-27,209763000000","-53,619561000000","21,5"
"Pinheiro Machado","4314506","-31,580593000000","-53,384620000000","79,7"
"Pinto Bandeira","4314548","-54,450000000000","-29,100000000000","30,4"
"Pirapó","4314555","-28,045316000000","-55,200310000000","36,2"
"Piratini","4314605","-31,444112000000","-53,104734000000","64,6"
"Planalto","4314704","-27,331464000000","-53,058881000000","61,5"
"Poço das Antas","4314753","-29,454546000000","-51,670890000000","55,1"
"Pontão","4314779","-28,061841000000","-52,675399000000","51,2"
"Ponte Preta","4314787","-27,657040000000","-52,490232000000","35,7"
"Portão","4314803","-29,696259000000","-51,230150000000","87,7"
"Porto Alegre","4314902","-30,030037000000","-51,228660000000","99,8"
"Porto Lucena","4315008","-27,851375000000","-55,011562000000","49,2"
"Porto Mauá","4315057","-27,578635000000","-54,671952000000","40,3"
"Porto Vera Cruz","4315073","-27,734374000000","-54,899032000000","25,4"
"Porto Xavier","4315107","-27,905690000000","-55,139560000000","62,4"
"Pouso Novo","4315131","-29,169761000000","-52,210870000000","43,1"
"Presidente Lucena","4315149","-29,526127000000","-51,181600000000","66,6"
"Progresso","4315156","-29,240309000000","-52,301717000000","37,8"
"Protásio Alves","4315172","-28,756713000000","-51,473632000000","26,6"
"Putinga","4315206","-28,998756000000","-52,159911000000","45,5"
"Quaraí","4315305","-30,382868000000","-56,453647000000","92,6"
"Quatro Irmãos","4315313","-27,821197000000","-52,442769000000","58,9"
"Quevedos","4315321","-29,351921000000","-54,071255000000","39,0"
"Quinze de Novembro","4315354","-28,742361000000","-53,096722000000","61,2"
"Redentora","4315404","-27,661540000000","-53,641934000000","33,9"
"Relvado","4315453","-29,112279000000","-52,072949000000","46,9"
