ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,POSTOS,mae_escolaridade_ens_medio,pop_urb(%),MACRORREGIAO_INT,PARTIDO PREFEITOS_INT
2021.0,75.70932556349206,74.6815286624204,140.824915824916,156.38888897222222,144.54365083531744,154.78670634920644,154.72222230555556,0.697,0.692,0.563,0.8755,144.181,27276.97,2658.15,191900.0,55.0,1681.0,97.9,1.0,2.0
2022.0,104.98348072307598,74.6815286624204,84.83330327080324,87.1754878072813,98.8532110091743,96.50389086358356,87.06016311118384,0.697,0.692,0.563,0.8755,144.181,27276.97,2658.15,191900.0,55.0,1507.0,97.9,1.0,2.0
2023.0,55.9503105590062,193.333333333333,129.16666675,313.72835497835496,132.142857142857,197.5049603174603,193.8074194324195,0.697,0.692,0.563,0.8755,144.181,27276.97,2658.15,191900.0,55.0,1507.0,97.9,1.0,2.0
2024.0,65.69850288600288,100.0,129.16666675,110.480549199085,132.142857142857,107.70655270655271,100.0,0.697,0.692,0.563,0.8755,144.181,27276.97,2658.15,191900.0,55.0,1507.0,97.9,1.0,2.0
2020.0,145.2422175777439,193.333333333333,239.27045177045153,203.25396825396825,200.0,185.714285714286,193.8074194324195,0.621,0.666,0.461,0.8015000000000001,405.034,36271.065,19.46,4704.0,98.0,34.0,31.6,6.0,4.0
2021.0,46.1215513794482,74.6815286624204,129.16666675,122.08333358333336,121.38558201058203,118.518518518519,113.4063143817545,0.621,0.666,0.461,0.8015000000000001,405.034,36271.065,19.46,4704.0,98.0,34.0,31.6,6.0,4.0
2022.0,55.9503105590062,74.6815286624204,73.6418511066398,76.271186440678,87.8787878787879,74.2857142857143,74.6913580246914,0.621,0.666,0.461,0.8015000000000001,405.034,36271.065,19.46,4704.0,98.0,34.0,31.6,6.0,4.0
2023.0,125.0,33.12500033333333,73.6418511066398,65.0,98.8532110091743,53.125,32.91666683333333,0.621,0.666,0.461,0.8015000000000001,405.034,36271.065,19.46,4704.0,98.0,34.0,31.6,6.0,4.0
2024.0,75.70932556349206,33.12500033333333,39.9399399399399,53.6144578313253,41.66666704166666,30.000000149999998,32.91666683333333,0.621,0.666,0.461,0.8015000000000001,405.034,36271.065,19.46,4704.0,98.0,34.0,31.6,6.0,4.0
2020.0,65.69850288600288,87.0967741935484,106.52777786111112,99.00087270830306,121.38558201058203,96.50389086358356,87.06016311118384,0.687,0.7,0.563,0.807,144.181,27276.97,19.46,4704.0,98.0,34.0,60.75,0.0,7.0
2021.0,114.53373015873015,113.513513513514,206.1069023569024,203.25396825396825,200.0,175.52778920425976,179.87103174603178,0.687,0.7,0.563,0.807,144.181,27276.97,19.46,4704.0,98.0,34.0,60.75,0.0,7.0
2022.0,104.98348072307598,100.0,50.26348435761521,65.0,52.77777802777778,63.3333333333333,61.77257512796453,0.687,0.7,0.563,0.807,144.181,27276.97,19.46,4704.0,98.0,34.0,60.75,0.0,7.0
2023.0,125.0,166.666666666667,172.91666670833334,169.20093795093794,167.60912698412704,164.28571436904764,166.666666666667,0.687,0.7,0.563,0.807,144.181,27276.97,19.46,4704.0,98.0,34.0,60.75,0.0,7.0
2024.0,114.53373015873015,33.12500033333333,84.83330327080324,76.271186440678,87.8787878787879,85.2941176470588,32.91666683333333,0.687,0.7,0.563,0.807,144.181,27276.97,19.46,4704.0,98.0,34.0,60.75,0.0,7.0
2020.0,85.50685425685425,61.9047619047619,73.6418511066398,76.271186440678,76.1904761904762,74.2857142857143,61.77257512796453,0.7244999999999999,0.734,0.606,0.839,405.034,99721.8,19.46,4704.0,98.0,34.0,50.3,0.0,15.0
2021.0,235.8974358974355,220.86956521739148,73.6418511066398,76.271186440678,76.1904761904762,74.2857142857143,74.6913580246914,0.7244999999999999,0.734,0.606,0.839,405.034,99721.8,19.46,4704.0,98.0,34.0,50.3,0.0,15.0
2022.0,174.193548387097,166.666666666667,73.6418511066398,87.1754878072813,87.8787878787879,74.2857142857143,74.6913580246914,0.7244999999999999,0.734,0.606,0.839,405.034,99721.8,19.46,4704.0,98.0,34.0,50.3,0.0,15.0
2023.0,104.98348072307598,87.0967741935484,95.51910361977174,99.00087270830306,98.8532110091743,85.2941176470588,87.06016311118384,0.7244999999999999,0.734,0.606,0.839,405.034,99721.8,19.46,4704.0,98.0,34.0,50.3,0.0,15.0
2024.0,85.50685425685425,87.0967741935484,84.83330327080324,87.1754878072813,98.8532110091743,96.50389086358356,87.06016311118384,0.7244999999999999,0.734,0.606,0.839,405.034,99721.8,19.46,4704.0,98.0,34.0,50.3,0.0,15.0
2020.0,125.0,126.9759485926655,106.52777786111112,133.5763890138889,132.142857142857,118.518518518519,126.923076923077,0.743,0.743,0.633,0.866,144.181,56792.915,19.46,4704.0,98.0,34.0,50.3,3.0,12.0
2021.0,75.70932556349206,74.6815286624204,73.6418511066398,76.271186440678,87.8787878787879,74.2857142857143,74.6913580246914,0.743,0.743,0.633,0.866,144.181,56792.915,19.46,4704.0,98.0,34.0,50.3,3.0,12.0
2022.0,85.50685425685425,74.6815286624204,84.83330327080324,76.271186440678,76.1904761904762,74.2857142857143,74.6913580246914,0.743,0.743,0.633,0.866,144.181,56792.915,19.46,4704.0,98.0,34.0,50.3,3.0,12.0
2023.0,104.98348072307598,74.6815286624204,84.83330327080324,76.271186440678,76.1904761904762,74.2857142857143,74.6913580246914,0.743,0.743,0.633,0.866,144.181,56792.915,19.46,4704.0,98.0,34.0,50.3,3.0,12.0
2024.0,125.0,126.9759485926655,161.63690480357144,145.45454554545452,144.54365083531744,107.70655270655271,126.923076923077,0.743,0.743,0.633,0.866,144.181,56792.915,19.46,4704.0,98.0,34.0,50.3,3.0,12.0
